City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Cherskiy,RU,68.75,161.3,-15.88,71,0,5.75,clear sky
137,Thompson,CA,55.7435,-97.8558,51.8,30,20,11.5,few clouds
138,Machico,PT,32.7,-16.7667,60.8,48,40,9.22,scattered clouds
139,Port Antonio,JM,18.18,-76.4612,84.99,65,20,17.27,few clouds
140,Hami,CN,42.8,93.45,41.79,23,0,2.24,clear sky
141,Hobart,AU,-42.8794,147.3294,60.8,77,75,6.91,broken clouds
142,Bubaque,GW,11.2833,-15.8333,76.12,76,64,16.8,broken clouds
143,Aljezur,PT,37.3191,-8.8033,56.59,53,0,8.72,clear sky
144,Manokwari,ID,-0.8667,134.0833,79.12,74,94,3.51,overcast clouds
145,Matagami,CA,49.7502,-77.6328,53.6,22,1,17.27,clear sky
146,Nicoya,CR,10.1483,-85.452,89.6,43,40,23.02,scattered clouds
147,Lipin Bor,RU,60.2622,37.9763,28.45,94,100,11.45,light snow
148,Hearst,CA,49.6835,-83.6665,53.6,28,4,16.11,clear sky
149,Half Moon Bay,US,37.4636,-122.4286,57.99,71,1,17.27,haze
150,Bastia,FR,42.6667,9.3333,48.99,39,0,8.05,clear sky
151,Eydhafushi,MV,5.1033,73.0708,83.5,68,24,7.02,few clouds
152,Nome,US,64.5011,-165.4064,12.2,67,90,1.14,overcast clouds
153,Rawson,AR,-43.3002,-65.1023,76.68,25,0,13.49,clear sky
154,Bar Harbor,US,44.3876,-68.2039,61.0,28,1,11.5,clear sky
155,Abaza,RU,52.655,90.0928,33.01,90,100,3.69,overcast clouds
156,Petrolina,BR,-9.3986,-40.5008,93.2,29,75,9.22,broken clouds
157,Luderitz,NA,-26.6481,15.1594,69.73,62,0,18.63,clear sky
158,Turbat,PK,26.0023,63.044,71.06,74,0,6.15,clear sky
159,Ayorou,NE,14.7308,0.9174,96.46,15,15,2.28,few clouds
160,Te Anau,NZ,-45.4167,167.7167,46.87,96,75,0.98,broken clouds
161,Torbat-E Jam,IR,35.244,60.6225,54.7,55,100,10.25,overcast clouds
162,Williston,US,48.147,-103.618,46.99,44,61,11.01,broken clouds
163,Paciran,ID,-6.8767,112.3761,79.45,83,91,7.72,overcast clouds
164,Richmond,US,37.5538,-77.4603,63.0,23,40,6.91,scattered clouds
165,Berlevag,NO,70.8578,29.0864,28.4,86,75,25.32,light snow
166,Okhotsk,RU,59.3833,143.3,12.45,94,100,10.38,light snow
167,Mount Isa,AU,-20.7333,139.5,78.8,78,100,6.91,light rain
168,Chifeng,CN,42.2683,118.9636,31.3,37,40,9.19,scattered clouds
169,Bekhtery,UA,46.251,32.2927,32.0,80,0,4.47,clear sky
170,Narsaq,GL,60.9167,-46.05,26.6,68,75,11.5,broken clouds
171,Kaeo,NZ,-35.1,173.7833,52.0,92,7,3.0,clear sky
172,Mungwi,ZM,-10.1732,31.3694,63.7,91,96,3.91,light rain
173,Lagoa,PT,39.05,-27.9833,58.77,75,100,12.28,overcast clouds
174,Meulaboh,ID,4.1363,96.1285,77.31,88,97,4.36,overcast clouds
175,Samana,DO,19.2056,-69.3369,78.8,89,40,16.11,scattered clouds
176,Turukhansk,RU,65.8167,87.9833,-2.18,86,99,18.99,overcast clouds
177,Tebingtinggi,ID,3.3285,99.1625,78.8,94,40,1.14,mist
178,Khromtau,KZ,50.2503,58.4347,16.83,95,99,9.95,overcast clouds
179,Xuddur,SO,4.1213,43.8894,85.23,31,11,5.66,few clouds
180,Qandala,SO,11.472,49.8728,77.95,64,0,3.09,clear sky
181,Jacareacanga,BR,-6.2222,-57.7528,82.98,77,76,1.92,broken clouds
182,Grindavik,IS,63.8424,-22.4338,44.6,87,90,31.07,overcast clouds
183,Kibala,TD,9.1104,18.3463,91.4,46,20,4.61,few clouds
184,Vieste,IT,41.8825,16.175,44.6,65,40,18.41,scattered clouds
185,Ixtapa,MX,20.7,-105.2,75.2,60,1,11.5,clear sky
186,Joshimath,IN,30.5667,79.5667,50.52,52,27,5.03,scattered clouds
187,Touros,BR,-5.1989,-35.4608,86.0,58,40,12.66,scattered clouds
188,Unity,CA,52.4501,-109.1682,30.24,37,9,12.15,clear sky
189,Copiapo,CL,-27.3667,-70.3333,69.8,56,0,16.11,clear sky
190,Tiksi,RU,71.6872,128.8694,-15.11,99,100,11.36,overcast clouds
191,Larap,PH,14.299,122.6504,77.63,92,1,7.78,clear sky
192,Podporozhye,RU,60.9112,34.1706,29.97,96,98,8.86,light snow
193,Flin Flon,CA,54.7682,-101.865,30.2,55,75,18.41,broken clouds
194,Ceyhan,TR,37.0247,35.8175,64.0,63,0,6.91,clear sky
195,Karpogory,RU,64.0019,44.4451,22.44,95,100,7.58,light snow
196,Hovd,MN,48.0056,91.6419,27.63,28,100,2.01,overcast clouds
197,Battipaglia,IT,40.6109,14.9852,46.0,51,100,7.0,overcast clouds
198,Iqaluit,CA,63.7506,-68.5145,-7.01,71,75,3.44,broken clouds
199,Diu,IN,20.7141,70.9822,75.69,64,0,8.03,clear sky
200,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,65,20,20.71,few clouds
201,Saint Anthony,US,45.0205,-93.218,59.0,47,1,21.85,clear sky
