City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Kinsale,IE,2021-03-19 22:03:13,51.7075,-8.5306,48.0,93,75,2.3
128,Mae Hong Son,TH,2021-03-19 21:58:23,19.3003,97.9685,70.92,52,74,1.01
129,Norman Wells,CA,2021-03-19 21:58:15,65.282,-126.8329,-2.2,71,75,18.41
130,Ponta Do Sol,PT,2021-03-19 21:55:08,32.6667,-17.1,57.0,51,1,8.99
131,Bafia,CM,2021-03-19 22:03:13,4.75,11.2333,70.48,93,88,6.89
132,Barrow,US,2021-03-19 21:52:30,71.2906,-156.7887,-5.8,77,90,4.61
133,Arecibo,PR,2021-03-19 22:03:13,18.4724,-66.7157,80.01,68,14,5.01
134,Tasiilaq,GL,2021-03-19 21:57:04,65.6145,-37.6368,24.8,74,6,12.66
135,Avarua,CK,2021-03-19 21:55:03,-21.2078,-159.775,82.4,74,40,10.36
136,Lorengau,PG,2021-03-19 22:03:13,-2.0226,147.2712,82.24,75,44,2.95
137,Severo-Kurilsk,RU,2021-03-19 21:55:00,50.6789,156.125,28.13,87,100,18.59
138,Ayan,RU,2021-03-19 22:03:15,56.45,138.1667,10.31,70,1,5.95
139,Sungairaya,ID,2021-03-19 22:03:15,0.7,108.9,76.82,86,80,5.37
140,Ribeira Grande,PT,2021-03-19 21:57:23,38.5167,-28.7,60.8,88,75,18.41
141,Chapais,CA,2021-03-19 22:02:44,49.7834,-74.8492,32.0,40,20,12.66
142,Kajaani,FI,2021-03-19 22:03:15,64.2273,27.7285,19.4,58,0,10.36
143,Bilibino,RU,2021-03-19 21:57:26,68.0546,166.4372,-13.43,63,82,0.25
144,Panaba,MX,2021-03-19 22:03:15,21.2833,-88.2667,77.2,62,75,16.08
145,Bethel,US,2021-03-19 21:57:30,41.3712,-73.414,39.99,26,11,10.96
146,Bredasdorp,ZA,2021-03-19 21:55:01,-34.5322,20.0403,64.4,77,100,1.14
147,Rawson,AR,2021-03-19 21:57:12,-43.3002,-65.1023,78.21,19,10,11.01
148,Fukue,JP,2021-03-19 21:56:50,32.6881,128.8419,60.64,92,100,18.34
149,Busselton,AU,2021-03-19 21:54:33,-33.65,115.3333,71.19,41,94,6.06
150,Staunton,US,2021-03-19 22:02:59,38.1496,-79.0717,48.2,27,1,8.05
151,Clyde River,CA,2021-03-19 21:54:38,70.4692,-68.5914,-13.0,70,40,3.44
152,Ixtapa,MX,2021-03-19 22:03:16,20.7,-105.2,77.0,61,1,10.36
153,San Jeronimo,PE,2021-03-19 22:01:11,-11.9472,-75.2829,58.03,68,99,6.17
154,West Wendover,US,2021-03-19 22:03:16,40.7391,-114.0733,64.4,24,90,6.91
155,Smiltene,LV,2021-03-19 22:03:16,57.4244,25.9016,19.99,77,0,1.01
156,Thompson,CA,2021-03-19 21:54:52,55.7435,-97.8558,50.0,40,75,10.36
157,Zyukayka,RU,2021-03-19 22:03:17,58.2025,54.7003,25.74,95,97,9.57
158,Mar Del Plata,AR,2021-03-19 21:57:08,-38.0023,-57.5575,70.0,56,0,5.75
159,Pevek,RU,2021-03-19 21:55:51,69.7008,170.3133,-16.44,90,100,1.63
160,Yeppoon,AU,2021-03-19 21:59:08,-23.1333,150.7333,75.2,88,90,5.75
161,Moron,AR,2021-03-19 21:56:23,-34.6534,-58.6198,70.0,64,82,5.99
162,Zeya,RU,2021-03-19 22:03:17,53.75,127.2667,10.53,87,100,1.7
163,Klaksvik,FO,2021-03-19 21:57:15,62.2266,-6.589,44.6,93,75,20.71
164,Winnemucca,US,2021-03-19 22:03:17,40.973,-117.7357,55.4,44,90,13.8
165,Bonavista,CA,2021-03-19 21:57:19,48.6499,-53.1147,43.0,100,100,8.05
166,Esmeralda,CU,2021-03-19 22:03:17,21.8525,-78.1169,86.0,45,20,17.27
167,Half Moon Bay,US,2021-03-19 21:55:42,37.4636,-122.4286,62.01,82,1,9.22
168,Kautokeino,NO,2021-03-19 22:03:18,69.0125,23.0412,30.96,76,3,19.77
169,Kampot,KH,2021-03-19 22:03:18,10.6167,104.1833,77.0,88,0,2.3
170,Koslan,RU,2021-03-19 22:03:18,63.4564,48.8989,3.7,97,84,3.83
