City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Vila Velha,BR,84.99,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
378,Talara,PE,87.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
384,Las Margaritas,MX,74.17,clear sky,16.3167,-91.9833,Fam Esponda Arguello
385,Inyonga,TZ,68.95,clear sky,-6.7167,32.0667,Eden Rock Lodge
389,Menongue,AO,66.7,moderate rain,-14.6585,17.691,Ritz Lauca
390,Champerico,GT,89.6,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
392,Miri,MY,77.0,light rain,4.4148,114.0089,"Mega Hotel, Miri"
393,Barcarena,BR,77.0,heavy intensity rain,-1.5058,-48.6258,Dos Santos Hotel
394,Saldanha,ZA,68.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
395,Narrabri,AU,68.0,light rain,-30.3167,149.7833,Crossroads Hotel
401,Aquiraz,BR,84.2,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
403,Bac Lieu,VN,80.15,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
406,Nsanje,MW,74.53,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
411,Santa Fe,AR,82.0,light rain,-31.6333,-60.7,Conquistador Hotel
412,Port Blair,IN,80.01,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
413,General Cepeda,MX,68.0,clear sky,25.3833,-101.45,Hacienda Los Jose
416,Boueni,YT,80.6,clear sky,-12.9025,45.0761,The feet in water
417,San Policarpo,PH,81.0,broken clouds,12.1791,125.5072,JM Lodge
419,Atambua,ID,74.61,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
422,Ankazoabo,MG,72.73,light rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
425,Blythe,US,69.8,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
431,Werda,BW,73.11,few clouds,-25.2667,23.2833,
433,Pinheiro Machado,BR,71.01,overcast clouds,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
435,Kampot,KH,78.8,clear sky,10.6167,104.1833,Two Moons Hotel
436,Castanos,MX,71.6,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
439,Sabha,LY,73.13,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
443,Mirandopolis,BR,86.61,broken clouds,-21.1336,-51.1017,Hotel Piriquitu's
447,Da Nang,VN,78.8,scattered clouds,16.0678,108.2208,Sun River Hotel
461,Rockport,US,72.0,clear sky,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
462,Singarayakonda,IN,78.8,few clouds,15.25,80.0333,srinu tiffin shop
464,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
465,Grand-Santi,GF,84.2,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
468,Constitucion,CL,65.89,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
470,Piacabucu,BR,83.93,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
471,San Pedro,PH,82.4,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
473,Sibolga,ID,77.29,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
477,Namibe,AO,73.69,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
481,Nambucca Heads,AU,68.0,moderate rain,-30.65,153.0,Marcel Towers Holiday Apartments
482,Ahuimanu,US,71.6,light rain,21.4447,-157.8378,Paradise Bay Resort
483,Vao,NC,74.89,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
484,Alice Springs,AU,66.2,heavy intensity rain,-23.7,133.8833,Desert Palms Alice Springs
485,Maumere,ID,80.64,overcast clouds,-8.6199,122.2111,Sylvia Hotel
486,Camopi,GF,83.52,broken clouds,3.1655,-52.3158,
487,Ugoofaaru,MV,84.02,overcast clouds,5.6667,73.0,Ungoofaaru Inn
489,Mahibadhoo,MV,83.3,broken clouds,3.7833,72.9667,Omadhoo Inn
490,Wangaratta,AU,66.99,overcast clouds,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
494,Palu,ID,75.9,broken clouds,-0.8917,119.8707,Hotel Santika Palu
497,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
499,Kigoma,TZ,78.8,few clouds,-4.8769,29.6267,Kigoma Hilltop Hotel
506,Shikarpur,PK,71.6,haze,27.9571,68.6379,TSK™ Hotel
508,Malpe,IN,82.4,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
509,Amahai,ID,79.29,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
510,Bandarbeyla,SO,78.69,clear sky,9.4942,50.8122,JABIR HOTEL
512,Yambio,SS,69.6,heavy intensity rain,4.5721,28.3955,Naivasha Hotel
513,San Matias,BO,89.64,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
518,Yumbe,UG,76.69,overcast clouds,3.4651,31.2469,Terrain Hotel
521,Manicore,BR,76.53,moderate rain,-5.8092,-61.3003,Hotel Durval
522,Eyl,SO,76.95,few clouds,7.9803,49.8164,Amiin Hotel
524,Grenville,GD,84.2,few clouds,12.1167,-61.6167,Valley Breeze Guest House
526,Guatire,VE,86.0,few clouds,10.4762,-66.5427,Parque Residencial Canaima I
529,Kota Kinabalu,MY,77.0,few clouds,5.9749,116.0724,Gaya Centre Hotel
533,Morehead,US,66.99,clear sky,37.2711,-87.1764,CCI Express Inn
535,Sabang,ID,83.5,overcast clouds,5.8933,95.3214,Hotel Citra
536,Santiago,CL,78.01,few clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
540,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
542,Lucapa,AO,69.3,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
544,Labuhan,ID,79.23,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
